,carat,depth,table,price,x,y,z,Fair,Good,Ideal,Premium,Very Good,D,E,F,G,H,I,J,I1,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
48864,0.00034383788204273664,0.030847169988976943,0.028980621486459232,0.9990946458213233,0.0027605269958288284,0.0027752629050592317,0.001738837289187554,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11192,0.00020174720824416007,0.012427628027840261,0.011096096453428803,0.9998591640580573,0.001313374325669482,0.001293199604845066,0.0008029538888117571,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
35225,0.0003679486241263661,0.06812624525491202,0.06243976651841364,0.9956912768025603,0.0049617314465525125,0.004995181321473092,0.0030439386177726646,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
29581,0.0005772367515723765,0.08700788109066553,0.0844736709618112,0.9925656338012816,0.006673420005983085,0.006729735786624292,0.004139209877128749,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10421,0.00025507880362264293,0.012858480674420114,0.013381183140859957,0.9998252778061298,0.001448931236971242,0.001436386377776686,0.0008885941929477315,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7517,0.00023804558060151735,0.014777681092787267,0.01390563292622725,0.9997914385263729,0.0014777681092787264,0.0014919094308986187,0.0009309703399762312,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
25477,0.0001059853558448024,0.004379792188553423,0.003930582733317175,0.9999823607423177,0.0005179946530692992,0.0005130814246526526,0.0003214655164034404,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
33631,0.00044182925335749484,0.07308094677156401,0.07164798703094512,0.9947128866129546,0.005528836332554598,0.005469129676695477,0.00336745539045442,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15123,0.00021879850319920274,0.010364139625225392,0.010199629472444037,0.9998927086050784,0.0011351200541913527,0.0011301847496079118,0.0007139740630710826,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8726,0.0004559032043380321,0.10435117788181622,0.09962329279979218,0.9894788064521732,0.006990515799849824,0.0070580570153073105,0.00433952309314349,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3218,0.00021193146169550472,0.018775336536122886,0.017909700988352515,0.9996598101665428,0.0017133613945523906,0.0016924667433993125,0.0010715971091364252,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12080,0.0002054391270305342,0.012074393975473849,0.010659577345923944,0.999868355047666,0.0012597682317910116,0.0012675206516789563,0.0007868706186263856,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39426,0.00037987224897703843,0.057351444418728484,0.05281150778461266,0.9969330241446179,0.0044194893356596906,0.0043824286284424195,0.002723961980469495,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48052,0.0003162588192533426,0.032144339006077445,0.028515139440875154,0.9990667945921167,0.0028204065192429244,0.0028359602316652198,0.0017523849329119639,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53176,0.0002698302939011106,0.022232496046781652,0.021662432045582124,0.9995122154365085,0.002230850458027492,0.002242251738051483,0.0013073467760842544,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39033,0.00038704512423917334,0.058245571135504874,0.052864699896082216,0.9968771980404075,0.004493499491166988,0.004531259991092761,0.0027848368695257597,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28445,0.0004583694040502259,0.09049099202539944,0.08575943688681646,0.992147968121618,0.006431957766511234,0.00647631609593545,0.003947891318755172,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
28771,0.00048074388454057734,0.0910499781326851,0.08595117935725473,0.9920805617337368,0.006395350464039801,0.006424486457042261,0.004006199037838144,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34436,0.0005764119635818229,0.0719362130550115,0.07032225955698239,0.9948870491422264,0.005787176114361502,0.005741063157274956,0.003596810652750575,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30814,0.000521434205317736,0.08062175020681918,0.08102285344167898,0.9933990116694303,0.006283950679470152,0.0062973207872988116,0.0037971106233394103,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45493,0.00030932193283296825,0.03688069199162314,0.033311592766627346,0.9987529331279879,0.0030753738322047033,0.0030872708296213565,0.0019094680853727463,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14037,0.0001910064227569227,0.010426497389024679,0.010163644513671116,0.9998923378449549,0.0011793332340863207,0.0011758285290816065,0.0007009410009428355,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28460,0.00047251483061788924,0.0905161222402394,0.08416670420381152,0.9922811442975674,0.0064823128325391674,0.006541377186366404,0.003986843883338441,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
45026,0.0003294439403728389,0.036848914812073086,0.034774638150466324,0.9987032044265505,0.003251733707754132,0.003209028011779875,0.001952260387394601,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17830,0.00021834287763097164,0.008455571312078391,0.00848338569139444,0.999926936411902,0.001056946414009799,0.001041648505385973,0.0006383400053032865,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
36795,0.00035429829448101093,0.06512836295606818,0.05731295940134,0.9962034397760189,0.004689242132836909,0.004647559980545025,0.0029177506604318544,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
30171,0.0005235719464145971,0.08542489652027638,0.07578015013895485,0.9934088772761172,0.006393089029904554,0.0064619800754854234,0.003981902434574173,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7560,0.0002587728622294527,0.014561854701821017,0.013173891168044863,0.9998042404319762,0.0015643995762053275,0.0015596946150738828,0.0009668695125118641,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29134,0.00047344125836790716,0.08966690499392181,0.07890687639465119,0.9927919720927022,0.006355590225969177,0.006412977045165288,0.0039883839341296416,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
32059,0.0004204338024613142,0.07962761410252162,0.0777165513640611,0.9937526239994698,0.005631264869330329,0.005580303196304715,0.0035036150205109513,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9407,0.0002005334608029371,0.013579602834807586,0.01198841341756689,0.9998336790250787,0.0013601399950112255,0.0013688588411330924,0.0008500874968820158,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
30942,0.0005255609801440804,0.1342370336784672,0.1226308953669521,0.9832370003528839,0.008846943165758687,0.008890739914104027,0.005430796794822165,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22678,0.00016313446530865941,0.0056677574232951375,0.005593181667725465,0.9999676624948511,0.0007196560412473432,0.0007271136168043105,0.00043999695786106993,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1108,0.00029167200547999334,0.02127489922324657,0.019559181543952493,0.99957711995673,0.0020931755687387753,0.0020657240858700703,0.001290219694829147,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
45780,0.0002982547973050968,0.035966019675026384,0.0309951063866081,0.9988611643080497,0.0030234849060144127,0.0030644218389778576,0.0018714026497574704,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8054,0.0003904510280814475,0.10491249363231936,0.09676395043757612,0.9897084755281907,0.006688595872351753,0.006722548135663183,0.004142176123994487,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9036,0.0006073275476741885,0.10290827891145972,0.09278615311688991,0.9902813069020796,0.0077434262328459035,0.0077940368618187525,0.004740528913790194,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19256,0.00017404447352528023,0.007850783086356167,0.0072622873845080965,0.9999418457358907,0.0008952647379178086,0.0008864999083158159,0.0005584448574983812,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
50276,0.0003124215890663714,0.027448468182259773,0.02499372712530971,0.9993027684565794,0.0025618570303442456,0.0025886360236927917,0.001584423773122312,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
31070,0.00043601150787334617,0.08152093950238018,0.07795357261978007,0.993577739153807,0.005800274301709059,0.005839911711515727,0.0035937918224712173,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26353,0.0004917288746461966,0.09650179164931608,0.0906625112628925,0.99114101295874,0.006653706335056348,0.006715172444387123,0.004195061961825365,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6079,0.0002567995503264147,0.01543314944608747,0.015609384431605597,0.9997558964178359,0.001616326581466257,0.001626397152067293,0.0009944688468522922,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14754,0.00016836185589852725,0.010303745580989869,0.009428263930317525,0.9999010621813533,0.0010893012076634713,0.0010741486406326039,0.0006616620936812121,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12360,0.00043107567330762336,0.1044529516091549,0.09616303481477752,0.9898160652486583,0.006631933435501898,0.0066816729362681624,0.00419469789795495,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
30624,0.0006145453622282374,0.13563894066323237,0.12071426758054662,0.9832725795651798,0.00921818043342356,0.009327920676678604,0.005728440697913212,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
29667,0.0004922064834885595,0.08789401490867135,0.08015934159670828,0.9928507924083516,0.006300242988653564,0.006384621242965887,0.003965777952679252,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13376,0.0006061912334780267,0.1389576827511169,0.14688479888121414,0.9792319925414277,0.009629114593324039,0.009699059735648427,0.005758816718041253,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39203,0.0003466754096796072,0.05603024188875814,0.05434371286869519,0.9969260429705461,0.00441308426916473,0.004394345057830697,0.0026328591924316114,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
52265,0.0002968886011550209,0.024994810610753787,0.024072048742298992,0.9993912236177799,0.0023189406955081366,0.0023269647117555694,0.0014483349326616561,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11321,0.0002245969962095809,0.012593474430322927,0.01102931677814906,0.9998576991972948,0.0013415659862875857,0.0013355499953176862,0.0008402334054626286,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
23288,0.00018385396962205855,0.005038305898296796,0.0055686538875911965,0.9999711338145906,0.0007504424048515755,0.0007469067515896128,0.0004269301313819917,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51755,0.00029075385880049777,0.025295585715643307,0.024921759325756954,0.9993625489628538,0.0023924888952726675,0.0023717207625012036,0.0014496156674481961,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39727,0.00051170813082699,0.05738441181416959,0.052998342121366816,0.9969170905932965,0.0047424378553429965,0.004778988436116353,0.002988009978221888,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12795,0.0001686762467723571,0.01148872658571721,0.010682828962249282,0.9998753072561389,0.001161991922209571,0.0011694886442883425,0.0007140627780029783,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
26467,0.0001876882708594071,0.003847297778081535,0.003616584621211167,0.9999856477648877,0.0005767828921759188,0.0005736651468128057,0.00035479942232226797,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
22389,0.00013157462291191665,0.005599124464061854,0.0057623922443175175,0.9999671341305665,0.0007058930499288958,0.0007010910563919646,0.00041009024805392993,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
15939,0.00015679984537861043,0.00931391081548946,0.009251190877338016,0.9999126139793988,0.0010097910042382514,0.0010129270011458235,0.000600543407800078,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
49377,0.00023791027528080022,0.028787143308976828,0.026645950831449626,0.999223156179361,0.0024647504519090904,0.0024552340408978586,0.0014893183232578093,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51181,0.00029806667510815616,0.025420829291367037,0.02427114354452129,0.9993749806840608,0.002448404831245569,0.0024696953080390084,0.0014690428987473414,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
42313,0.00031591039206432846,0.04761771275506219,0.045460275931208244,0.9978145310324521,0.003652232337524188,0.0036753477320654797,0.002265308665046648,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
48447,0.0003542791172371678,0.030872894502096054,0.029860668452847003,0.9990671106088134,0.002915211021837267,0.0028899053706060406,0.0017713955861858393,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
37192,0.0005427542374635526,0.06349200513724577,0.055299488345343095,0.9964148548151635,0.005314895268746864,0.005355857852706378,0.0033077286547307074,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1650,0.0002550314814294168,0.02066748628726702,0.019541373252383885,0.999590923316857,0.0019375768394312833,0.0019243284507855993,0.001205603366757243,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20227,0.00011780455374191178,0.007160668952939735,0.006467700989752019,0.9999527708798747,0.0007460955070321079,0.0007507152934533594,0.0004642885353357699,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42065,0.00030621485062426435,0.04695294376238719,0.04318414560085779,0.9979463465216409,0.0038002048128754854,0.003745243173019848,0.002253427234081125,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
45397,0.0003053751358034713,0.03658513881880803,0.03353138746077332,0.9987563265101767,0.0030956655923606797,0.0031136288356432367,0.0018981160401902039,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
31819,0.0003849459902832302,0.07763077470711809,0.07057343155192554,0.994443808231678,0.005581716859106837,0.005620211458135161,0.003387524714492426,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4232,0.00030777552955199225,0.01776704193322864,0.015948368349512323,0.9997108791720619,0.0018326633805141354,0.0018270674617950084,0.0011611531342188798,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5427,0.00029804415957160275,0.016130986531199907,0.01490220797858014,0.9997551457910606,0.0017516630430962621,0.0017438197757391146,0.0010797564728339645,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
51630,0.0005630911810486675,0.10753225134864879,0.10898538988038728,0.9881342015821779,0.007919604997974809,0.008028590387855196,0.004722700228150115,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
38373,0.0004967962016049331,0.06088188745158494,0.056498391555070825,0.9965147338075423,0.004977703118041585,0.004997185322026092,0.0031171526375211494,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
38409,0.000340649054498424,0.060732860002004736,0.054503848719747845,0.9966418051611033,0.00440897204822246,0.0043505750674513,0.0027349252661159184,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43402,0.00032522330994172054,0.04383444612257972,0.03817838855837589,0.9982941600819769,0.0035138257617616324,0.0035350359776273967,0.0021846522341737312,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26702,0.0004919583336951108,0.0959318750705466,0.08609270839664439,0.9916035163542076,0.006687558598667912,0.006718305994523856,0.004181645836408442,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23120,0.00015070889414687993,0.005624671227981769,0.00493392212980857,0.9999714541995659,0.0006683221794013426,0.0006799841771627083,0.0004225231496617884,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39608,0.0007021776983723061,0.12037331972096676,0.12237954171631621,0.985054999716578,0.009168434518746969,0.009228621178607451,0.005517110487210977,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
53184,0.00028870976096369234,0.02381855527950462,0.022033113336702836,0.9994676067045718,0.002214707771603061,0.0021957137083817658,0.001382767802510316,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
44591,0.00032935025873864386,0.039149181699121814,0.03479927262144161,0.9986148411188691,0.0032251468733086068,0.003187861938357062,0.002019600643208665,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
41866,0.0003016586524773833,0.04913860681144744,0.04286728219415447,0.9978550688528179,0.0037310412280097413,0.0037072260712352105,0.002302131821537925,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
28034,0.0004522411520847154,0.09421690668431572,0.08441834838914689,0.9919155935724758,0.006451973769741941,0.006482123179880921,0.0040400209586234585,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10358,0.0002514792677155526,0.013160748343780585,0.011945265216488749,0.9998396552257512,0.0014061882386427983,0.0013978055963856132,0.0008801774370044342,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22257,0.0001803662689136944,0.006070391631181327,0.0054303822898746695,0.9999661102354928,0.0007709203429375648,0.0007631626539520295,0.00048000700597999315,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20152,0.00014172167501204196,0.007260331711682477,0.006621422521054419,0.9999509659866043,0.0007922473963787919,0.0007864391310094459,0.0004937025563944085,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3757,0.00029513635655372815,0.018026465699311045,0.016203564673538017,0.9997020704834616,0.0018576229500734656,0.0018431554816149495,0.0011516104892978806,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
52409,0.0002825902789213969,0.026069948266692247,0.021890796254474404,0.9994143526360951,0.00223684136272993,0.0022129604940886853,0.0014567329871159331,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45866,0.00041345952634740156,0.034765540454844895,0.03668725374631873,0.9987085742053432,0.0033775566941055338,0.0033193229580002663,0.0019974171484106865,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18020,0.0001549964305316988,0.008449362938719156,0.007818404017970649,0.9999327244036145,0.0009190053845684797,0.0009162620849130514,0.0005651197290182294,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
32368,0.0005034943222532225,0.07930035575488253,0.06923046930981809,0.9944012864501144,0.005916058286475364,0.005953820360644357,0.003738445342730177,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
29354,0.000440940949760322,0.08733475585575409,0.08107623914947856,0.9928283320409831,0.006215845001460023,0.006158949395039336,0.0037977817285808377,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31388,0.0004820561201092384,0.08116782779136635,0.07165699082704895,0.9940778909279699,0.005980101598111903,0.006019187229472112,0.0037391920667932815,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18133,0.00018116209929209734,0.008445150493315816,0.007764089969661314,0.9999330608295387,0.0009739165488259369,0.0009643817014947738,0.0006006953818632701,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45280,0.00033653008988998676,0.03653755261662713,0.03305206239990941,0.9987732310663535,0.0032030453198457665,0.003227083183409337,0.0019530764145401017,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20697,0.0001248136312570679,0.006641868234751113,0.006240681562853395,0.9999577797050626,0.0007577970469179122,0.0007633690840276027,0.0004535638207288092,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2628,0.0002663276556975658,0.018488094238540323,0.01827131591413533,0.9996577588276074,0.0019014555883523883,0.0019293270872044594,0.0011427314529349043,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14821,0.00022614587532673958,0.010285449440786524,0.00954838140268456,0.9998997998705988,0.0011943852526515948,0.001189359788755445,0.0007320425742058162,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
53882,0.00025832970571191665,0.023795440497970916,0.021466834700004343,0.9994812698459649,0.0020448069663393967,0.0020302531801021056,0.0013316714407121339,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15661,0.00020542787612024124,0.009905127050138764,0.009077045689033916,0.9999082435341045,0.0011163173733355744,0.001109947516711691,0.0006927219078473251,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
46312,0.0005633101536494479,0.1169807419078687,0.10327352816906546,0.9876704693986987,0.008055335197187105,0.008149220222795347,0.005051014377723383,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6297,0.00016157547431318447,0.015362098942391999,0.01416892620900233,0.9997793195194276,0.0013771201964539108,0.0013820917495097008,0.000852621349068035,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47419,0.00030762759883183307,0.03324536857551039,0.030223062341373078,0.9989801498907422,0.002876587897848545,0.002903572774939056,0.0017810018879737706,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
44211,0.0005786303876173221,0.04260245711028636,0.03942316926623514,0.9982963830320833,0.0037960696857971573,0.003745201080292338,0.0025307131238647717,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
35572,0.0003846871209584233,0.06748511207670625,0.06154993935334773,0.9957900902523757,0.005011923633058315,0.004978950451261879,0.0030665059070685745,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10192,0.00021098159235808476,0.013502821910917425,0.011393005987336577,0.9998417661849637,0.0013249644000087723,0.0013376232955502573,0.0008523656331266624,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
